lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
baseballleague_of,noun,Baseball League,Baseball Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:BaseballLeague,dbo:BaseballLeague
baseballplayer_of,noun,Baseball Player,Baseball Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:BaseballPlayer,dbo:BaseballPlayer
baseballseason_of,noun,Baseball Season,Baseball Seasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:BaseballSeason,dbo:BaseballSeason
basketballleague_of,noun,Basketball League,Basketball Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:BasketballLeague,dbo:BasketballLeague
basketball player_of,noun,basketball player,basketball players,NounPredicateFrame,range,domain,1,rdf:type,dbo:BasketballPlayer,dbo:BasketballPlayer
basketballteam_of,noun,Basketball Team,Basketball Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:BasketballTeam,dbo:BasketballTeam
beachvolleyballplayer_of,noun,Beach Volleyball Player,Beach Volleyball Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:BeachVolleyballPlayer,dbo:BeachVolleyballPlayer
beautyqueen_of,noun,Beauty Queen,Beauty Queens,NounPredicateFrame,range,domain,1,rdf:type,dbo:BeautyQueen,dbo:BeautyQueen
beverage_of,noun,beverage,beverages,NounPredicateFrame,range,domain,1,rdf:type,dbo:Beverage,dbo:Beverage
biologicaldatabase_of,noun,Biological Database,Biological Databases,NounPredicateFrame,range,domain,1,rdf:type,dbo:BiologicalDatabase,dbo:BiologicalDatabase
bird_of,noun,Bird,Birds,NounPredicateFrame,range,domain,1,rdf:type,dbo:Bird,dbo:Bird
river_of,noun,river,rivers,NounPredicateFrame,range,domain,1,rdf:type,dbo:BodyOfWater,dbo:BodyOfWater
bodybuilder_of,noun,Bodybuilder,Bodybuilders,NounPredicateFrame,range,domain,1,rdf:type,dbo:Bodybuilder,dbo:Bodybuilder
bone_of,noun,Bone,Bones,NounPredicateFrame,range,domain,1,rdf:type,dbo:Bone,dbo:Bone
book_of,noun,book,books,NounPredicateFrame,range,domain,1,rdf:type,dbo:Book,dbo:Book
boxer_of,noun,Boxer,Boxers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Boxer,dbo:Boxer
brain_of,noun,Brain,Brains,NounPredicateFrame,range,domain,1,rdf:type,dbo:Brain,dbo:Brain
brewery_of,noun,Brewery,Brewerys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Brewery,dbo:Brewery
bridge_of,noun,Bridge,Bridges,NounPredicateFrame,range,domain,1,rdf:type,dbo:Bridge,dbo:Bridge
broadcast network_of,noun,broadcast network,broadcast networks,NounPredicateFrame,range,domain,1,rdf:type,dbo:BroadcastNetwork,dbo:BroadcastNetwork
broadcaster_of,noun,broadcaster,broadcasters,NounPredicateFrame,range,domain,1,rdf:type,dbo:Broadcaster,dbo:Broadcaster
building_of,noun,Building,dbo:Buildings,NounPredicateFrame,range,domain,1,rdf:type,dbo:Building,dbo:Building
buscompany_of,noun,Bus Company,Bus Companies,NounPredicateFrame,range,domain,1,rdf:type,dbo:BusCompany,dbo:BusCompany
businessperson_of,noun,Business Person,Business Persons,NounPredicateFrame,range,domain,1,rdf:type,dbo:BusinessPerson,dbo:BusinessPerson
canadianfootballteam_of,noun,Canadian Football Team,Canadian Football Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:CanadianFootballTeam,dbo:CanadianFootballTeam
canal_of,noun,Canal,Canals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Canal,dbo:Canal
canoeist_of,noun,Canoeist,Canoeists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Canoeist,dbo:Canoeist
cardinal_of,noun,Cardinal,Cardinals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cardinal,dbo:Cardinal
castle_of,noun,Castle,Castles,NounPredicateFrame,range,domain,1,rdf:type,dbo:Castle,dbo:Castle
cave_of,noun,Cave,Caves,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cave,dbo:Cave
cheese_of,noun,Cheese,Cheeses,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cheese,dbo:Cheese
chef_of,noun,Chef,Chefs,NounPredicateFrame,range,domain,1,rdf:type,dbo:Chef,dbo:Chef
chemicalcompound_of,noun,Chemical Compound,Chemical Compounds,NounPredicateFrame,range,domain,1,rdf:type,dbo:ChemicalCompound,dbo:ChemicalCompound
chessplayer_of,noun,Chess Player,Chess Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:ChessPlayer,dbo:ChessPlayer
christianbishop_of,noun,Christian Bishop,Christian Bishops,NounPredicateFrame,range,domain,1,rdf:type,dbo:ChristianBishop,dbo:ChristianBishop
cinema_of,noun,Cinema,Cinemas,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cinema,dbo:Cinema
city_of,noun,city,cities,NounPredicateFrame,range,domain,1,rdf:type,dbo:City,dbo:City
citydistrict_of,noun,City District,City Districts,NounPredicateFrame,range,domain,1,rdf:type,dbo:CityDistrict,dbo:CityDistrict
classicalmusicartist_of,noun,Classical Music Artist,Classical Music Artists,NounPredicateFrame,range,domain,1,rdf:type,dbo:ClassicalMusicArtist,dbo:ClassicalMusicArtist
classicalmusiccomposition_of,noun,Classical Music Composition,Classical Music Compositions,NounPredicateFrame,range,domain,1,rdf:type,dbo:ClassicalMusicComposition,dbo:ClassicalMusicComposition
cleric_of,noun,Cleric,Clerics,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cleric,dbo:Cleric
college_of,noun,College,Colleges,NounPredicateFrame,range,domain,1,rdf:type,dbo:College,dbo:College
collegecoach_of,noun,College Coach,CollegeCoachs,NounPredicateFrame,range,domain,1,rdf:type,dbo:CollegeCoach,dbo:CollegeCoach
color_of,noun,color,colors,NounPredicateFrame,range,domain,1,rdf:type,dbo:Color,dbo:Color
color_of,noun,color,colors,NounPredicateFrame,range,domain,1,rdf:type,dbo:Colour,dbo:Colour
combinationdrug_of,noun,Combination Drug,Combination Drugs,NounPredicateFrame,range,domain,1,rdf:type,dbo:CombinationDrug,dbo:CombinationDrug
comedian_of,noun,Comedian,Comedians,NounPredicateFrame,range,domain,1,rdf:type,dbo:Comedian,dbo:Comedian
comedygroup_of,noun,Comedy Group,Comedy Groups,NounPredicateFrame,range,domain,1,rdf:type,dbo:ComedyGroup,dbo:ComedyGroup
comic_of,noun,Comic,Comics,NounPredicateFrame,range,domain,1,rdf:type,dbo:Comic,dbo:Comic
comicstrip_of,noun,Comic Strip,Comic Strips,NounPredicateFrame,range,domain,1,rdf:type,dbo:ComicStrip,dbo:ComicStrip
comic character_of,noun,comic character,comic characters,NounPredicateFrame,range,domain,1,rdf:type,dbo:ComicsCharacter,dbo:ComicsCharacter
comicscreator_of,noun,Comics Creator,Comics Creators,NounPredicateFrame,range,domain,1,rdf:type,dbo:ComicsCreator,dbo:ComicsCreator
company_of,noun,company,company,NounPredicateFrame,range,domain,1,rdf:type,dbo:Company,dbo:Company
concentrationcamp_of,noun,Concentration Camp,Concentration Camps,NounPredicateFrame,range,domain,1,rdf:type,dbo:ConcentrationCamp,dbo:ConcentrationCamp
congressman_of,noun,Congressman,Congressmans,NounPredicateFrame,range,domain,1,rdf:type,dbo:Congressman,dbo:Congressman
convention_of,noun,Convention,Conventions,NounPredicateFrame,range,domain,1,rdf:type,dbo:Convention,dbo:Convention
country_of,noun,country,countries,NounPredicateFrame,range,domain,1,rdf:type,dbo:Country,dbo:Country
crater_of,noun,Crater,Craters,NounPredicateFrame,range,domain,1,rdf:type,dbo:Crater,dbo:Crater
cricketground_of,noun,Cricket Ground,Cricket Grounds,NounPredicateFrame,range,domain,1,rdf:type,dbo:CricketGround,dbo:CricketGround
cricketteam_of,noun,Cricket Team,Cricket Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:CricketTeam,dbo:CricketTeam
cricketer_of,noun,Cricketer,Cricketers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cricketer,dbo:Cricketer
criminal_of,noun,Criminal,Criminals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Criminal,dbo:Criminal
crustacean_of,noun,Crustacean,Crustaceans,NounPredicateFrame,range,domain,1,rdf:type,dbo:Crustacean,dbo:Crustacean
cultivatedvariety_of,noun,Cultivated Variety,Cultivated Varietys,NounPredicateFrame,range,domain,1,rdf:type,dbo:CultivatedVariety,dbo:CultivatedVariety
curler_of,noun,Curler,Curlers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Curler,dbo:Curler
currency_of,noun,currency,currencies,NounPredicateFrame,range,domain,1,rdf:type,dbo:Currency,dbo:Currency
cyclingrace_of,noun,Cycling Race,Cycling Races,NounPredicateFrame,range,domain,1,rdf:type,dbo:CyclingRace,dbo:CyclingRace
cyclingteam_of,noun,Cycling Team,Cycling Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:CyclingTeam,dbo:CyclingTeam
cyclist_of,noun,Cyclist,Cyclists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Cyclist,dbo:Cyclist
dam_of,noun,Dam,Dams,NounPredicateFrame,range,domain,1,rdf:type,dbo:Dam,dbo:Dam
dartsplayer_of,noun,DartsPlayer,DartsPlayers,NounPredicateFrame,range,domain,1,rdf:type,dbo:DartsPlayer,dbo:DartsPlayer
device_of,noun,Device,Devices,NounPredicateFrame,range,domain,1,rdf:type,dbo:Device,dbo:Device
diocese_of,noun,Diocese,Dioceses,NounPredicateFrame,range,domain,1,rdf:type,dbo:Diocese,dbo:Diocese
disease_of,noun,disease,diseases,NounPredicateFrame,range,domain,1,rdf:type,dbo:Disease,dbo:Disease
drug_of,noun,Drug,Drugs,NounPredicateFrame,range,domain,1,rdf:type,dbo:Drug,dbo:Drug
earthquake_of,noun,Earthquake,Earthquakes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Earthquake,dbo:Earthquake
economist_of,noun,Economist,Economists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Economist,dbo:Economist
educational institution_of,noun,educational institution,educational institutions,NounPredicateFrame,range,domain,1,rdf:type,dbo:EducationalInstitution,dbo:EducationalInstitution
election_of,noun,Election,Elections,NounPredicateFrame,range,domain,1,rdf:type,dbo:Election,dbo:Election
embryology_of,noun,Embryology,Embryologys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Embryology,dbo:Embryology
engineer_of,noun,Engineer,Engineers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Engineer,dbo:Engineer
entomologist_of,noun,Entomologist,Entomologists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Entomologist,dbo:Entomologist
enzyme_of,noun,Enzyme,Enzymes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Enzyme,dbo:Enzyme
ethnic group_of,noun,ethnic group,ethnic groups,NounPredicateFrame,range,domain,1,rdf:type,dbo:EthnicGroup,dbo:EthnicGroup
eukaryote_of,noun,Eukaryote,Eukaryotes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Eukaryote,dbo:Eukaryote
eurovisionsongcontestentry_of,noun,Eurovision Song Contest Entry,Eurovision Song Contest Entrys,NounPredicateFrame,range,domain,1,rdf:type,dbo:EurovisionSongContestEntry,dbo:EurovisionSongContestEntry
event_of,noun,event,events,NounPredicateFrame,range,domain,1,rdf:type,dbo:Event,dbo:Event
fashion_of,noun,Fashion,Fashions,NounPredicateFrame,range,domain,1,rdf:type,dbo:Fashion,dbo:Fashion
fashiondesigner_of,noun,Fashion Designer,Fashion Designers,NounPredicateFrame,range,domain,1,rdf:type,dbo:FashionDesigner,dbo:FashionDesigner
fictional character_of,noun,fictional character,fictional characters,NounPredicateFrame,range,domain,1,rdf:type,dbo:FictionalCharacter,dbo:FictionalCharacter
figureskater_of,noun,Figure Skater,Figure Skaters,NounPredicateFrame,range,domain,1,rdf:type,dbo:FigureSkater,dbo:FigureSkater
film_of,noun,film,films,NounPredicateFrame,range,domain,1,rdf:type,dbo:Film,dbo:Film
filmfestival_of,noun,Film Festival,Film Festivals,NounPredicateFrame,range,domain,1,rdf:type,dbo:FilmFestival,dbo:FilmFestival
fish_of,noun,Fish,Fishs,NounPredicateFrame,range,domain,1,rdf:type,dbo:Fish,dbo:Fish
food_of,noun,food,foods,NounPredicateFrame,range,domain,1,rdf:type,dbo:Food,dbo:Food
footballleagueseason_of,noun,Football League Season,Football League Seasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:FootballLeagueSeason,dbo:FootballLeagueSeason
footballmatch_of,noun,Football Match,Football Matchs,NounPredicateFrame,range,domain,1,rdf:type,dbo:FootballMatch,dbo:FootballMatch
formermunicipality_of,noun,Former Municipality,Former Municipalitys,NounPredicateFrame,range,domain,1,rdf:type,dbo:FormerMunicipality,dbo:FormerMunicipality
formulaoneracer_of,noun,Formula One Racer,Formula One Racers,NounPredicateFrame,range,domain,1,rdf:type,dbo:FormulaOneRacer,dbo:FormulaOneRacer
formulaoneteam_of,noun,Formula OneTeam,Formula One Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:FormulaOneTeam,dbo:FormulaOneTeam
book_of,noun,book,book,NounPredicateFrame,range,domain,1,rdf:type,dbo:Foundation_series,dbo:Foundation_series
fungus_of,noun,Fungus,Funguss,NounPredicateFrame,range,domain,1,rdf:type,dbo:Fungus,dbo:Fungus
gaelicgamesplayer_of,noun,Gaelic Games Player,Gaelic Games Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:GaelicGamesPlayer,dbo:GaelicGamesPlayer
galaxy_of,noun,Galaxy,Galaxys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Galaxy,dbo:Galaxy
game_of,noun,Game,Games,NounPredicateFrame,range,domain,1,rdf:type,dbo:Game,dbo:Game
garden_of,noun,Garden,Gardens,NounPredicateFrame,range,domain,1,rdf:type,dbo:Garden,dbo:Garden
genre_of,noun,genre,genres,NounPredicateFrame,range,domain,1,rdf:type,dbo:Genre,dbo:Genre
givenname_of,noun,Given Name,Given Names,NounPredicateFrame,range,domain,1,rdf:type,dbo:GivenName,dbo:GivenName
glacier_of,noun,Glacier,Glaciers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Glacier,dbo:Glacier
golfcourse_of,noun,Golf Course,Golf Courses,NounPredicateFrame,range,domain,1,rdf:type,dbo:GolfCourse,dbo:GolfCourse
golfplayer_of,noun,Golf Player,Golf Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:GolfPlayer,dbo:GolfPlayer
golftournament_of,noun,Golf Tournament,Golf Tournaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:GolfTournament,dbo:GolfTournament
governmentagency_of,noun,Government Agency,Government Agencys,NounPredicateFrame,range,domain,1,rdf:type,dbo:GovernmentAgency,dbo:GovernmentAgency
governor_of,noun,Governor,Governors,NounPredicateFrame,range,domain,1,rdf:type,dbo:Governor,dbo:Governor
grandprix_of,noun,Grand Prix,Grand Prixs,NounPredicateFrame,range,domain,1,rdf:type,dbo:GrandPrix,dbo:GrandPrix
grape_of,noun,grape,grapes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Grape,dbo:Grape
greenalga_of,noun,Green Alga,Green Algas,NounPredicateFrame,range,domain,1,rdf:type,dbo:GreenAlga,dbo:GreenAlga
guitarist_of,noun,Guitarist,Guitarists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Guitarist,dbo:Guitarist
gymnast_of,noun,Gymnast,Gymnasts,NounPredicateFrame,range,domain,1,rdf:type,dbo:Gymnast,dbo:Gymnast
handballplayer_of,noun,Handball Player,Handball Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:HandballPlayer,dbo:HandballPlayer
handballteam_of,noun,Handball Team,Handball Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:HandballTeam,dbo:HandballTeam
historian_of,noun,Historian,Historians,NounPredicateFrame,range,domain,1,rdf:type,dbo:Historian,dbo:Historian
historicbuilding_of,noun,Historic Building,Historic Buildings,NounPredicateFrame,range,domain,1,rdf:type,dbo:HistoricBuilding,dbo:HistoricBuilding
historicplace_of,noun,Historic Place,Historic Places,NounPredicateFrame,range,domain,1,rdf:type,dbo:HistoricPlace,dbo:HistoricPlace
hockeyteam_of,noun,Hockey Team,Hockey Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:HockeyTeam,dbo:HockeyTeam
holiday_of,noun,Holiday,Holidays,NounPredicateFrame,range,domain,1,rdf:type,dbo:Holiday,dbo:Holiday
hollywoodcartoon_of,noun,Hollywood Cartoon,Hollywood Cartoons,NounPredicateFrame,range,domain,1,rdf:type,dbo:HollywoodCartoon,dbo:HollywoodCartoon
horse_of,noun,Horse,Horses,NounPredicateFrame,range,domain,1,rdf:type,dbo:Horse,dbo:Horse
horserace_of,noun,Horse Race,Horse Races,NounPredicateFrame,range,domain,1,rdf:type,dbo:HorseRace,dbo:HorseRace
horsetrainer_of,noun,Horse Trainer,Horse Trainers,NounPredicateFrame,range,domain,1,rdf:type,dbo:HorseTrainer,dbo:HorseTrainer
hospital_of,noun,Hospital,Hospitals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Hospital,dbo:Hospital
hotel_of,noun,Hotel,Hotels,NounPredicateFrame,range,domain,1,rdf:type,dbo:Hotel,dbo:Hotel
humangene_of,noun,Human Gene,Human Genes,NounPredicateFrame,range,domain,1,rdf:type,dbo:HumanGene,dbo:HumanGene
ice hockey league_of,noun,Ice Hockey League,Ice Hockey Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:IceHockeyLeague,dbo:IceHockeyLeague
icehockeyplayer_of,noun,Ice Hockey Player,Ice Hockey Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:IceHockeyPlayer,dbo:IceHockeyPlayer
ideology_of,noun,ideology,ideologies,NounPredicateFrame,range,domain,1,rdf:type,dbo:Ideology,dbo:Ideology
informationappliance_of,noun,Information Appliance,Information Appliances,NounPredicateFrame,range,domain,1,rdf:type,dbo:InformationAppliance,dbo:InformationAppliance
infrastructure_of,noun,infrastructure,infrastructures,NounPredicateFrame,range,domain,1,rdf:type,dbo:Infrastructure,dbo:Infrastructure
insect_of,noun,Insect,Insects,NounPredicateFrame,range,domain,1,rdf:type,dbo:Insect,dbo:Insect
island_of,noun,Island,Islands,NounPredicateFrame,range,domain,1,rdf:type,dbo:Island,dbo:Island
jockey_of,noun,Jockey,Jockeys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Jockey,dbo:Jockey
journalist_of,noun,Journalist,Journalists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Journalist,dbo:Journalist
lacrosseplayer_of,noun,Lacrosse Player,Lacrosse Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:LacrossePlayer,dbo:LacrossePlayer
lake_of,noun,lake,lakes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Lake,dbo:Lake
language_of,noun,language,languages,NounPredicateFrame,range,domain,1,rdf:type,dbo:Language,dbo:Language
launch pad_of,noun,launch pad,launch pads,NounPredicateFrame,range,domain,1,rdf:type,dbo:LaunchPad,dbo:LaunchPad
lawfirm_of,noun,Law Firm,Law Firms,NounPredicateFrame,range,domain,1,rdf:type,dbo:LawFirm,dbo:LawFirm
legislature_of,noun,legislature,legislatures,NounPredicateFrame,range,domain,1,rdf:type,dbo:Legislature,dbo:Legislature
library_of,noun,Library,Librarys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Library,dbo:Library
ligament_of,noun,Ligament,Ligaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:Ligament,dbo:Ligament
lighthouse_of,noun,Lighthouse,Lighthouses,NounPredicateFrame,range,domain,1,rdf:type,dbo:Lighthouse,dbo:Lighthouse
location_of,noun,location,locations,NounPredicateFrame,range,domain,1,rdf:type,dbo:Location,dbo:Location
locomotive_of,noun,Locomotive,Locomotives,NounPredicateFrame,range,domain,1,rdf:type,dbo:Locomotive,dbo:Locomotive
loyality_of,noun,loyality,loyalities,NounPredicateFrame,range,domain,1,rdf:type,dbo:Loyalty,dbo:Loyalty
magazine_of,noun,Magazine,Magazines,NounPredicateFrame,range,domain,1,rdf:type,dbo:Magazine,dbo:Magazine
mammal_of,noun,Mammal,Mammals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Mammal,dbo:Mammal
manga_of,noun,Manga,Mangas,NounPredicateFrame,range,domain,1,rdf:type,dbo:Manga,dbo:Manga
martialartist_of,noun,Martial Artist,Martial Artists,NounPredicateFrame,range,domain,1,rdf:type,dbo:MartialArtist,dbo:MartialArtist
mayor_of,noun,Mayor,Mayors,NounPredicateFrame,range,domain,1,rdf:type,dbo:Mayor,dbo:Mayor
medician_of,noun,Medician,Medicians,NounPredicateFrame,range,domain,1,rdf:type,dbo:Medician,dbo:Medician
memberofparliament_of,noun,Member of Parliament,Member of Parliaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:MemberOfParliament,dbo:MemberOfParliament
military conflict_of,noun,military conflict,military conflicts,NounPredicateFrame,range,domain,1,rdf:type,dbo:MilitaryConflict,dbo:MilitaryConflict
person_of,noun,person,persons,NounPredicateFrame,range,domain,1,rdf:type,dbo:MilitaryPerson,dbo:MilitaryPerson
militarystructure_of,noun,Military Structure,Military Structures,NounPredicateFrame,range,domain,1,rdf:type,dbo:MilitaryStructure,dbo:MilitaryStructure
military unit_of,noun,military unit,military units,NounPredicateFrame,range,domain,1,rdf:type,dbo:MilitaryUnit,dbo:MilitaryUnit
mineral_of,noun,Mineral,Minerals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Mineral,dbo:Mineral
mixedmartialartsevent_of,noun,Mixed Martial Arts Event,Mixed Martial Arts Events,NounPredicateFrame,range,domain,1,rdf:type,dbo:MixedMartialArtsEvent,dbo:MixedMartialArtsEvent
model_of,noun,model,models,NounPredicateFrame,range,domain,1,rdf:type,dbo:Model,dbo:Model
mollusca_of,noun,Mollusca,Molluscas,NounPredicateFrame,range,domain,1,rdf:type,dbo:Mollusca,dbo:Mollusca
monoclonalantibody_of,noun,Monoclonal Antibody,Monoclonal Antibodys,NounPredicateFrame,range,domain,1,rdf:type,dbo:MonoclonalAntibody,dbo:MonoclonalAntibody
monument_of,noun,Monument,Monuments,NounPredicateFrame,range,domain,1,rdf:type,dbo:Monument,dbo:Monument
